Restaurant ID,Restaurant Name,City,Address,Cuisines,Aggregate rating
2600180,Indian Coffee House,Bhopal,"Near Apex Bank, TT Nagar, Bhopal",South Indian,3.9
2600393,The Urban Socialite,Bhopal,"Hotel Lake View Ashoka, 5th Floor, Shyamla Hills, TT Nagar, Bhopal","Italian, Mexican, Chinese",3.8
2600007,Bake N Shake,Bhopal,"Bhadbhada Road, Near Rang Mahal Talkies, TT Nagar, Bhopal",Fast Food,4.3
2900587,Tyre Patty,Bhubaneshwar,"3rd Floor, BMC Bhawani Mall, Sahid Nagar, Bhubaneshwar",Cafe,3.9
2900354,Silver Streak,Bhubaneshwar,"Ground Floor, BMC Bhawani Mall, Sahid Nagar, Bhubaneshwar",Chinese,4.1
2900633,Barbeque Nation,Bhubaneshwar,"Plot 12-13/557, 3rd Floor, Mauza Samantapuri,Gajapati Nagar, Chandrasekharpur, Bhubaneshwar","Mediterranean, Asian, Continental, North Indian, Arabian",4.6
18408676,Central Perk 7,Bhubaneshwar,"Plot 133/A, District Center, Chandrasekharpur, Bhubaneshwar","Cafe, Charcoal Grill, Steak",4.5
2900234,The Chicken Dinesty,Bhubaneshwar,"District Center, Niladri Vihar Road, Chandrasekharpur, Bhubaneshwar","Fast Food, North Indian, Chinese",3.9
2900550,Taste Of China,Bhubaneshwar,"139, District Center, Chandrasekharpur, Bhubaneshwar",Chinese,4.0
18362677,Michael's Kitchen,Bhubaneshwar,"7798, Sainik School Road, Gajapati Nagar, Bhubaneswar, Gajapati Nagar, Bhubaneshwar","North Indian, Asian, European",3.7
2900044,Mamma Mia - Mayfair Lagoon,Bhubaneshwar,"Mayfair Lagoon, 8-B, Jayadev Vihar, Bhubaneshwar","Cafe, Italian, Mexican, Bakery",4.1
2900469,99 North Restaurant,Bhubaneshwar,"B36, Chandaka Industrial Estate, Near CTTC, Patia, Bhubaneshwar","North Indian, Chinese",3.6
2900219,Adda,Bhubaneshwar,"4th Floor, SJ Complex, KIIT College Road, Patia, Bhubaneshwar","North Indian, Chinese, Mexican, Beverages",3.8
2900473,Chill Ummm,Bhubaneshwar,"DS Tower, 2nd Floor, Plot 516/1763/4177, Near Big Bazar, Patia, Bhubaneshwar","Chinese, North Indian, Cafe",3.7
2900020,Lal Qila,Bhubaneshwar,"Sampark Vihar, Opposite Big Bazaar, KIIT Square, Patia, Bhubaneshwar","Mughlai, Chinese, North Indian",3.7
2900562,Richard's Kitchen & Coffee Bar,Bhubaneshwar,"Rooftop Bata Showroom, KIIT Square, Patia, Bhubaneshwar","Cafe, Chinese, Fast Food, Seafood",3.8
18413814,Aangan Horizon,Bhubaneshwar,"Above Patia Pantaloons, Nandankanan Road, Patia, Bhubaneshwar","North Indian, Chinese, Continental",4.0
18235390,Brewberrys The Coffee Bar,Bhubaneshwar,"3, Infocity Road, Patia, Bhubaneshwar",Cafe,4.0
2900640,Chai Break,Bhubaneshwar,"KIIT Road, PS Plaza, Patia, Bhubaneshwar","Italian, Cafe, Chinese, Continental",4.3
18271459,JUGAAD JN.,Bhubaneshwar,"KIIT Road, Opposite SBI, Patia, Bhubaneshwar","North Indian, Rajasthani",4.1
18377283,Cha cTea,Bhubaneshwar,"797, Near Shivam Honda Showroom, Sahid Nagar, Bhubaneshwar","Cafe, Tea",3.8
18408600,Food Fever,Bhubaneshwar,"A-54, Opposite Law University, Sahid Nagar, Bhubaneshwar","Chinese, North Indian",4.2
2900012,Mainland China,Bhubaneshwar,"The Crown, A1, Near IRC Village, Nayapalli, Bhubaneshwar",Chinese,4.3
18436042,Eram Rooftop,Bhubaneshwar,"206, 3rd Floor, Suryansh Enclave, Shastri Nagar, Unit 4, Bhubaneshwar","Asian, Continental",3.5
122003,The Night Factory,Chandigarh,"Phase 1, Chandigarh Industrial Area, Chandigarh","North Indian, Chinese, Continental, Pizza",3.7
121552,Brooklyn Central,Chandigarh,"Courtyard, Elante Mall, Phase 1, Chandigarh Industrial Area, Chandigarh","American, Cafe",4.2
121214,Chili's,Chandigarh,"312 B, 3rd Floor, Elante Mall, Phase 1, Chandigarh Industrial Area, Chandigarh","Mexican, American, Italian",4.3
121553,Kylin Experience,Chandigarh,"312 A, 3rd Floor, Elante Mall, Phase 1, Chandigarh Industrial Area, Chandigarh","Japanese, Chinese, Thai, Malaysian, Burmese, Asian",4.1
121312,Mocha,Chandigarh,"Ground Floor, Elante Mall, Phase 1, Chandigarh Industrial Area, Chandigarh","Continental, Italian, Thai, Finger Food",4.0
121335,Pirates of Grill,Chandigarh,"313, Third Floor, Elante Mall, Phase 1, Chandigarh Industrial Area, Chandigarh","North Indian, Continental, Asian",4.0
120014,Barbeque Nation,Chandigarh,"SCO 39, Madhya Marg, Sector 26, Chandigarh","North Indian, Chinese",4.5
123125,TGI Friday's,Chandigarh,"SCO 51, Madhya Marg, Sector 26, Chandigarh","American, Tex-Mex",4.3
120221,Pal Dhaba,Chandigarh,"SCO 151 & 152, Sector 28 D, Sector 28, Chandigarh",North Indian,3.8
122064,Midnight Chef,Chandigarh,"SCO 329-332, Sector 35B, Sector 35, Chandigarh","North Indian, Chinese, Continental, Italian, Burger",3.4
